published,impact,av-attack-vector,av-attack-complexity,av-privileges-required,av-user-interaction,av-scope,av-confidentiality,av-integrity,av-availability
1996-05-17T04:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1996-05-23T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-05-28T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-05-29T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-06-07T04:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1996-06-07T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-06-26T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-07-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1996-07-03T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-07-09T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-07-16T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-07-16T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1996-07-24T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-07-25T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-07-31T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-08-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-08-03T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-08-06T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-08-14T04:00:00.000,2.9,L,L,Null,Null,Null,N,P,N
1996-08-15T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1996-08-21T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-08-26T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-08-30T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-09-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-09-04T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-09-11T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-09-13T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-09-17T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-09-19T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1996-09-21T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1996-10-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-10-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-10-01T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-10-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-10-08T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-10-16T04:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1996-10-25T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-10-28T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-10-30T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-11-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-11-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-11-03T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-11-16T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-11-17T05:00:00.000,2.9,L,L,Null,Null,Null,N,P,N
1996-11-22T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1996-11-26T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-12-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-03T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-03T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-12-04T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-12-05T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1996-12-10T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-12-10T05:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1996-12-10T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1996-12-12T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-13T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-18T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1996-12-19T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-19T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-20T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1996-12-24T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1996-12-24T05:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,2.9,L,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,4.9,N,L,Null,Null,Null,P,P,N
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,3.6,N,L,N,N,U,H,N,N
1997-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,0.0,N,L,Null,Null,Null,N,N,N
1997-01-01T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,10.0,N,M,Null,Null,Null,C,C,C
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-01-01T05:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-01-01T05:00:00.000,0.0,N,L,Null,Null,Null,N,N,N
1997-01-04T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-01-06T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-06T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-01-07T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-07T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-01-08T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-09T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-11T05:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1997-01-27T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-01-27T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-01-28T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-01-30T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-02-01T05:00:00.000,4.9,N,L,Null,Null,Null,P,P,N
1997-02-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-02-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-02-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-02-02T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
